ID,Age_Group,Gender,Employment,Income,Education,Cafe_Frequency,Reading_Frequency,Visit_Reason,Coffee_Preferences,Food_Preferences,Favorite_Genres,Avg_Spend_AED,Total_Spend_AED,Willing_Pay_Membership,Consider_Membership,Visit_Likelihood,Will_Recommend
281,35-44,Male,Self-employed/Business owner,"35,001 - 50,000",Diploma/Vocational Training,Once a week,Rare reader (few times a year),"Relaxation and ""me-time""","Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)",Fiction - Mystery/Thriller|Religious/Spiritual,35,48,202,"Yes, depending on price",Probably will visit,Probably yes
282,25-34,Male,Full-time employed,"50,001 - 75,000",Master's Degree,Once a week,Occasional reader (1-2 times per week),Free WiFi,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)","No food, just beverages|Traditional Arabic sweets|Vegan/Healthy options",Children's/Young Adult|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Poetry,48,130,0,Definitely not,Probably will visit,Definitely yes
283,35-44,Male,Full-time employed,"20,001 - 35,000",Master's Degree,Once a month,Daily reader (read every day),Work/study in a different environment,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","International cuisine options|Pastries (croissants, muffins)",Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir,27,38,0,Probably not,Definitely will visit,Probably yes
284,25-34,Female,Self-employed/Business owner,"50,001 - 75,000",Bachelor's Degree,2-3 times per week,Monthly reader (few times a month),Business meetings|Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|International cuisine options|Salads",Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Other,49,131,378,"Yes, depending on price",Probably will visit,Definitely yes
285,25-34,Female,Full-time employed,"20,001 - 35,000",Bachelor's Degree,Daily,Monthly reader (few times a month),Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)","No food, just beverages|Pastries (croissants, muffins)|Salads",Fiction - Literary|Non-Fiction - Science/Technology,28,60,0,Definitely not,Probably won't visit,Maybe
286,55+,Female,Retired,"10,001 - 20,000",Bachelor's Degree,2-3 times per month,Regular reader (3-5 times per week),Ambiance and interior design|Social meetings with friends/colleagues,Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Hot Chocolate|Non-caffeinated beverages only,Breakfast items|Salads|Vegan/Healthy options,Children's/Young Adult|Other,40,79,0,Definitely not,Definitely will visit,Probably yes
287,45-54,Male,Homemaker,"10,001 - 20,000",Bachelor's Degree,2-3 times per month,Rare reader (few times a year),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|Salads|Sandwiches/Wraps|Vegan/Healthy options",Other|Religious/Spiritual,35,57,119,"Yes, depending on price",Probably will visit,Probably yes
288,18-24,Male,Full-time employed,"Above 75,000",Bachelor's Degree,4-6 times per week,Regular reader (3-5 times per week),Social meetings with friends/colleagues,"Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","Breakfast items|Light snacks (cookies, biscuits)",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,80,248,465,"Yes, definitely",Definitely will visit,Definitely yes
289,25-34,Male,Self-employed/Business owner,"20,001 - 35,000",Bachelor's Degree,2-3 times per month,Daily reader (read every day),Social meetings with friends/colleagues|Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Light snacks (cookies, biscuits)",Comics/Graphic Novels|Fiction - Contemporary/Romance|Non-Fiction - History/Politics|Other,29,48,0,Definitely not,Might visit,Definitely yes
290,25-34,Female,Full-time employed,"Above 75,000",Master's Degree,Once a week,Occasional reader (1-2 times per week),Social meetings with friends/colleagues|Work/study in a different environment,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only","Breakfast items|Desserts (cakes, brownies)|International cuisine options|Traditional Arabic sweets",Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other|Poetry,61,164,368,Maybe,Definitely will visit,Probably yes
291,18-24,Female,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Once a week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Filter/Drip Coffee|Tea (Black, Green, Herbal)",Breakfast items|Salads|Sandwiches/Wraps,Children's/Young Adult|Fiction - Literary|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology|Poetry,40,86,309,Maybe,Probably will visit,Probably yes
292,45-54,Male,Self-employed/Business owner,Prefer not to say,Bachelor's Degree,Once a week,Regular reader (3-5 times per week),Coffee/beverages quality,"Arabic/Turkish Coffee|Filter/Drip Coffee|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Desserts (cakes, brownies)|Traditional Arabic sweets",Fiction - Contemporary/Romance|Non-Fiction - Business/Self-Help,44,94,149,"Yes, depending on price",Definitely will visit,Maybe
293,35-44,Male,Part-time employed,"Less than 5,000",Diploma/Vocational Training,2-3 times per week,Non-reader,Coffee/beverages quality|Social meetings with friends/colleagues,Arabic/Turkish Coffee|Cold Brew/Iced Coffee,"Desserts (cakes, brownies)|Pastries (croissants, muffins)",Poetry|Religious/Spiritual,11,28,172,"Yes, depending on price",Definitely won't visit,Definitely not
294,25-34,Female,Full-time employed,"Above 75,000",Bachelor's Degree,2-3 times per month,Daily reader (read every day),"Relaxation and ""me-time""|Work/study in a different environment",Filter/Drip Coffee|Non-caffeinated beverages only,"International cuisine options|Light snacks (cookies, biscuits)",Comics/Graphic Novels|Fiction - Literary|Poetry,93,222,0,Definitely not,Probably will visit,Probably yes
295,35-44,Male,Full-time employed,"35,001 - 50,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),"Food quality|Relaxation and ""me-time""",Cold Brew/Iced Coffee|Non-caffeinated beverages only,"Desserts (cakes, brownies)|International cuisine options|No food, just beverages|Vegan/Healthy options",Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,37,67,216,"Yes, depending on price",Probably will visit,Definitely yes
296,35-44,Male,Full-time employed,"Above 75,000",Diploma/Vocational Training,Once a month,Regular reader (3-5 times per week),Food quality,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Non-caffeinated beverages only","No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets",Children's/Young Adult|Fiction - Literary|Poetry,69,123,457,"Yes, depending on price",Definitely will visit,Probably yes
297,25-34,Female,Full-time employed,"20,001 - 35,000",Doctorate/PhD,Once a week,Regular reader (3-5 times per week),Business meetings,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Traditional Arabic sweets",Children's/Young Adult|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Poetry,35,69,204,Maybe,Probably will visit,Definitely yes
298,18-24,Male,Student,"Less than 5,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality|Free WiFi,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|No food, just beverages|Traditional Arabic sweets",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy,13,21,0,Probably not,Probably will visit,Maybe
299,18-24,Female,Part-time employed,"Less than 5,000",Other,Once a month,Daily reader (read every day),Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages|Salads",Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology|Other,15,27,145,"Yes, definitely",Probably will visit,Probably yes
300,45-54,Female,Full-time employed,"Above 75,000",Master's Degree,2-3 times per week,Regular reader (3-5 times per week),Coffee/beverages quality,"Filter/Drip Coffee|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|No food, just beverages|Pastries (croissants, muffins)|Traditional Arabic sweets",Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics,63,113,303,Maybe,Probably will visit,Probably yes
301,55+,Prefer not to say,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Once a month,Daily reader (read every day),Social meetings with friends/colleagues|Work/study in a different environment,Filter/Drip Coffee|Non-caffeinated beverages only,"Desserts (cakes, brownies)|Sandwiches/Wraps",Fiction - Literary|Fiction - Science Fiction/Fantasy,25,41,0,Probably not,Probably will visit,Probably yes
302,35-44,Male,Part-time employed,"5,000 - 10,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),Ambiance and interior design|Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)","Breakfast items|Desserts (cakes, brownies)",Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Other,25,36,0,Definitely not,Probably will visit,Definitely yes
303,45-54,Prefer not to say,Self-employed/Business owner,"35,001 - 50,000",Diploma/Vocational Training,Daily,Rare reader (few times a year),"Free WiFi|Relaxation and ""me-time""",Cold Brew/Iced Coffee|Filter/Drip Coffee|Hot Chocolate|Non-caffeinated beverages only,"Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|No food, just beverages",Unknown,43,95,0,Probably not,Definitely will visit,Definitely yes
304,35-44,Female,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Once a month,Occasional reader (1-2 times per week),Business meetings|Coffee/beverages quality,Filter/Drip Coffee|Hot Chocolate,"Light snacks (cookies, biscuits)|No food, just beverages",Children's/Young Adult|Non-Fiction - Business/Self-Help|Religious/Spiritual,51,91,245,"Yes, depending on price",Probably will visit,Definitely not
305,18-24,Male,Student,"50,001 - 75,000",High School or below,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate","Light snacks (cookies, biscuits)|Sandwiches/Wraps|Traditional Arabic sweets",Children's/Young Adult|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,49,122,0,Probably not,Definitely will visit,Definitely yes
306,18-24,Female,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,Once a week,Occasional reader (1-2 times per week),Business meetings,Filter/Drip Coffee|Non-caffeinated beverages only,"Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Traditional Arabic sweets",Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Non-Fiction - Science/Technology,40,59,213,Maybe,Might visit,Definitely yes
307,25-34,Female,Student,"5,000 - 10,000",High School or below,4-6 times per week,Monthly reader (few times a month),Free WiFi,"Filter/Drip Coffee|Tea (Black, Green, Herbal)","Breakfast items|Desserts (cakes, brownies)",Comics/Graphic Novels|Fiction - Literary,16,20,112,"Yes, depending on price",Probably will visit,Maybe
308,45-54,Female,Full-time employed,"50,001 - 75,000",Diploma/Vocational Training,2-3 times per week,Monthly reader (few times a month),Social meetings with friends/colleagues,Cold Brew/Iced Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies,"Desserts (cakes, brownies)|No food, just beverages|Vegan/Healthy options",Children's/Young Adult|Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Religious/Spiritual,57,147,0,Definitely not,Probably will visit,Definitely yes
309,45-54,Male,Full-time employed,"50,001 - 75,000",Doctorate/PhD,Daily,Regular reader (3-5 times per week),"Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee","Pastries (croissants, muffins)|Salads",Non-Fiction - Science/Technology|Other,66,143,491,"Yes, depending on price",Probably will visit,Maybe
310,45-54,Female,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Once a week,Occasional reader (1-2 times per week),Ambiance and interior design,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Hot Chocolate,"Breakfast items|Light snacks (cookies, biscuits)|Sandwiches/Wraps",Non-Fiction - Biography/Memoir|Poetry,32,56,182,Maybe,Definitely will visit,Maybe
311,45-54,Female,Full-time employed,"50,001 - 75,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Desserts (cakes, brownies)|International cuisine options|Salads",Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - History/Politics,49,154,0,Probably not,Probably will visit,Probably yes
312,25-34,Female,Homemaker,"10,001 - 20,000",Bachelor's Degree,Once a week,Occasional reader (1-2 times per week),Coffee/beverages quality|Social meetings with friends/colleagues,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)","No food, just beverages|Salads|Traditional Arabic sweets",Fiction - Contemporary/Romance|Non-Fiction - Business/Self-Help|Other|Religious/Spiritual,28,54,174,"Yes, depending on price",Definitely will visit,Probably yes
313,25-34,Male,Student,"10,001 - 20,000",High School or below,2-3 times per month,Non-reader,Food quality,"Arabic/Turkish Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Sandwiches/Wraps|Vegan/Healthy options",Fiction - Science Fiction/Fantasy,36,75,0,Definitely not,Might visit,Maybe
314,18-24,Female,Student,"Less than 5,000",Other,Once a week,Regular reader (3-5 times per week),Ambiance and interior design,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate","Desserts (cakes, brownies)|International cuisine options|No food, just beverages",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy,13,20,198,Maybe,Might visit,Maybe
315,45-54,Female,Homemaker,"10,001 - 20,000",Bachelor's Degree,Rarely/Never,Daily reader (read every day),Location convenience|Social meetings with friends/colleagues,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Hot Chocolate","Breakfast items|International cuisine options|Light snacks (cookies, biscuits)|Traditional Arabic sweets",Fiction - Contemporary/Romance|Non-Fiction - Science/Technology,32,48,82,"Yes, definitely",Definitely will visit,Probably yes
316,45-54,Male,Self-employed/Business owner,"50,001 - 75,000",Master's Degree,4-6 times per week,Daily reader (read every day),Food quality|Social meetings with friends/colleagues,Cold Brew/Iced Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies,Breakfast items|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options,Fiction - Literary|Non-Fiction - History/Politics,80,157,424,"Yes, depending on price",Probably will visit,Probably yes
317,25-34,Female,Full-time employed,"10,001 - 20,000",Bachelor's Degree,2-3 times per week,Regular reader (3-5 times per week),Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",International cuisine options|Salads|Sandwiches/Wraps|Traditional Arabic sweets,Comics/Graphic Novels|Fiction - Contemporary/Romance|Other,32,60,110,"Yes, depending on price",Definitely will visit,Probably yes
318,35-44,Female,Full-time employed,"50,001 - 75,000",Master's Degree,4-6 times per week,Daily reader (read every day),Ambiance and interior design|Free WiFi,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|Sandwiches/Wraps|Traditional Arabic sweets",Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Religious/Spiritual,54,155,260,Maybe,Definitely will visit,Probably yes
319,25-34,Female,Full-time employed,"20,001 - 35,000",Master's Degree,2-3 times per week,Daily reader (read every day),Coffee/beverages quality|Work/study in a different environment,Arabic/Turkish Coffee|Non-caffeinated beverages only,"Desserts (cakes, brownies)|International cuisine options",Children's/Young Adult|Fiction - Literary|Religious/Spiritual,38,64,0,Probably not,Probably will visit,Definitely yes
320,55+,Female,Retired,"50,001 - 75,000",Diploma/Vocational Training,2-3 times per week,Regular reader (3-5 times per week),Coffee/beverages quality|Food quality,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)",Breakfast items|International cuisine options|Traditional Arabic sweets,Comics/Graphic Novels|Fiction - Literary|Non-Fiction - Biography/Memoir,50,144,350,"Yes, depending on price",Definitely will visit,Probably yes
321,45-54,Female,Full-time employed,"10,001 - 20,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Work/study in a different environment,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|International cuisine options|No food, just beverages|Vegan/Healthy options",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help,28,55,192,"Yes, depending on price",Definitely will visit,Definitely yes
322,55+,Female,Full-time employed,"35,001 - 50,000",High School or below,4-6 times per week,Rare reader (few times a year),Food quality|Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Hot Chocolate|Non-caffeinated beverages only|Tea (Black, Green, Herbal)",International cuisine options|Sandwiches/Wraps,Non-Fiction - Science/Technology,41,68,152,Maybe,Probably will visit,Maybe
323,45-54,Female,Full-time employed,"50,001 - 75,000",Master's Degree,4-6 times per week,Regular reader (3-5 times per week),Ambiance and interior design|Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Light snacks (cookies, biscuits)|Salads",Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Other,61,115,396,"Yes, depending on price",Might visit,Probably not
324,45-54,Female,Part-time employed,"10,001 - 20,000",Bachelor's Degree,Daily,Daily reader (read every day),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|No food, just beverages",Children's/Young Adult|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Other,25,43,140,Maybe,Definitely will visit,Definitely yes
325,18-24,Female,Student,Prefer not to say,Bachelor's Degree,2-3 times per month,Monthly reader (few times a month),Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","No food, just beverages|Pastries (croissants, muffins)|Salads|Vegan/Healthy options",Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,38,85,0,Probably not,Probably will visit,Probably not
326,35-44,Male,Full-time employed,"35,001 - 50,000",Master's Degree,Once a week,Monthly reader (few times a month),Social meetings with friends/colleagues,"Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)",International cuisine options|Sandwiches/Wraps|Traditional Arabic sweets,Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Poetry,38,52,324,"Yes, definitely",Probably will visit,Probably yes
327,25-34,Male,Self-employed/Business owner,"Less than 5,000",Bachelor's Degree,4-6 times per week,Regular reader (3-5 times per week),Food quality,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Pastries (croissants, muffins)|Sandwiches/Wraps",Non-Fiction - History/Politics|Poetry,21,28,90,Maybe,Definitely will visit,Probably yes
328,55+,Female,Unemployed,"Less than 5,000",Diploma/Vocational Training,Once a week,Regular reader (3-5 times per week),Ambiance and interior design|Free WiFi,"Arabic/Turkish Coffee|Tea (Black, Green, Herbal)",International cuisine options|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options,Comics/Graphic Novels|Non-Fiction - Biography/Memoir,14,26,161,Maybe,Probably won't visit,Probably not
329,45-54,Female,Retired,"35,001 - 50,000",Doctorate/PhD,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality|Food quality,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Pastries (croissants, muffins)|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options",Children's/Young Adult|Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy,31,61,286,"Yes, depending on price",Probably will visit,Probably yes
330,45-54,Male,Full-time employed,"Less than 5,000",Bachelor's Degree,2-3 times per week,Regular reader (3-5 times per week),Ambiance and interior design|Free WiFi,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|No food, just beverages|Pastries (croissants, muffins)",Fiction - Literary|Religious/Spiritual,12,20,0,Probably not,Probably will visit,Definitely not
331,45-54,Male,Full-time employed,"20,001 - 35,000",Bachelor's Degree,Once a week,Regular reader (3-5 times per week),Business meetings,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee","Pastries (croissants, muffins)|Sandwiches/Wraps|Traditional Arabic sweets",Other|Religious/Spiritual,35,68,283,Maybe,Definitely will visit,Maybe
332,25-34,Female,Full-time employed,"50,001 - 75,000",Master's Degree,4-6 times per week,Occasional reader (1-2 times per week),"Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate","Pastries (croissants, muffins)|Salads|Traditional Arabic sweets",Children's/Young Adult|Other,80,230,485,"Yes, depending on price",Probably will visit,Probably yes
333,45-54,Male,Homemaker,"10,001 - 20,000",Bachelor's Degree,2-3 times per week,Monthly reader (few times a month),"Coffee/beverages quality|Relaxation and ""me-time""",Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee,International cuisine options|Vegan/Healthy options,Children's/Young Adult|Fiction - Literary,34,48,178,Maybe,Probably will visit,Maybe
334,18-24,Male,Part-time employed,"20,001 - 35,000",Bachelor's Degree,Daily,Daily reader (read every day),Coffee/beverages quality|Food quality,"Fresh Juices/Smoothies|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Pastries (croissants, muffins)|Vegan/Healthy options",Children's/Young Adult|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Religious/Spiritual,25,44,158,"Yes, definitely",Probably will visit,Maybe
335,45-54,Female,Self-employed/Business owner,"50,001 - 75,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality|Work/study in a different environment,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Non-caffeinated beverages only","Breakfast items|Desserts (cakes, brownies)",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Religious/Spiritual,43,102,367,Maybe,Probably will visit,Probably yes
336,45-54,Prefer not to say,Full-time employed,"20,001 - 35,000",Bachelor's Degree,2-3 times per week,Monthly reader (few times a month),Food quality|Work/study in a different environment,"Filter/Drip Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|No food, just beverages|Pastries (croissants, muffins)|Vegan/Healthy options",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Poetry,47,68,229,"Yes, depending on price",Probably will visit,Definitely yes
337,25-34,Female,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,2-3 times per week,Occasional reader (1-2 times per week),Location convenience,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|No food, just beverages|Pastries (croissants, muffins)|Vegan/Healthy options",Children's/Young Adult|Comics/Graphic Novels|Fiction - Mystery/Thriller,49,87,0,Definitely not,Definitely will visit,Definitely yes
338,45-54,Female,Self-employed/Business owner,"20,001 - 35,000",Diploma/Vocational Training,Daily,Occasional reader (1-2 times per week),Ambiance and interior design|Work/study in a different environment,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies","Light snacks (cookies, biscuits)|No food, just beverages|Salads|Traditional Arabic sweets",Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,50,102,0,Probably not,Definitely will visit,Probably yes
339,25-34,Female,Full-time employed,"5,000 - 10,000",High School or below,2-3 times per month,Non-reader,Coffee/beverages quality,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies,"Pastries (croissants, muffins)|Sandwiches/Wraps",Unknown,19,30,0,Probably not,Might visit,Probably yes
340,25-34,Male,Part-time employed,"5,000 - 10,000",Bachelor's Degree,2-3 times per month,Regular reader (3-5 times per week),Ambiance and interior design,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Salads|Vegan/Healthy options",Comics/Graphic Novels|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Poetry,17,21,0,Probably not,Definitely will visit,Definitely yes
341,45-54,Female,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,4-6 times per week,Occasional reader (1-2 times per week),"Relaxation and ""me-time""|Work/study in a different environment","Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)",Comics/Graphic Novels|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Other,43,73,0,Definitely not,Probably will visit,Probably yes
342,25-34,Female,Full-time employed,"10,001 - 20,000",Diploma/Vocational Training,4-6 times per week,Daily reader (read every day),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)","Desserts (cakes, brownies)|International cuisine options|No food, just beverages|Traditional Arabic sweets",Children's/Young Adult|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Religious/Spiritual,25,53,117,"Yes, definitely",Probably will visit,Definitely yes
343,18-24,Female,Self-employed/Business owner,"50,001 - 75,000",Diploma/Vocational Training,2-3 times per week,Regular reader (3-5 times per week),Food quality|Work/study in a different environment,Arabic/Turkish Coffee|Hot Chocolate|Non-caffeinated beverages only,"Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Salads",Children's/Young Adult|Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Poetry|Religious/Spiritual,73,222,362,Maybe,Probably will visit,Probably yes
344,25-34,Female,Self-employed/Business owner,"20,001 - 35,000",Master's Degree,4-6 times per week,Monthly reader (few times a month),Business meetings,"Arabic/Turkish Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Desserts (cakes, brownies)|No food, just beverages|Pastries (croissants, muffins)|Traditional Arabic sweets",Children's/Young Adult|Comics/Graphic Novels|Religious/Spiritual,31,58,0,Probably not,Definitely will visit,Definitely yes
